"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","8. Proposal Discussion Forum","0","","15","0","","0"
"0","5. Proposal functionality","6","","8","0","","0"
"3","11. Proposal Budget","0","","13","0","","0"
"7","7. Proposal submission","10","","21","0","","0"
"0","2. Delegation","8","","18","2","","0"
"1","12. Proposal Budget Submission","3","","24","0","","0"
"0","Setup","0","","26","0","Authentication","0"
"0","Setup","0","","4","0","Cleanup","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","6. Miscellaneous","1","","9","0","","0"
"6","6. Miscellaneous","4","","58","2","6A. Should be accessible from mobile","0"
"0","9. Outcomes","0","","26","0","","0"
"3","4. Proposal visibility","1","","16","0","","0"
"0","3. DRep registration","1","","22","0","","0"
"0","Setup","0","","1","0","Proposal","0"
"0","","0","","0","1","","0"
"0","Setup","0","","3","0","Register DRep","0"
"4","10. User Snap","1","","0","0","","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
