"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","3. DRep registration","0","","21","0","","0"
"0","9. Outcomes","8","","18","0","","0"
"14","6. Miscellaneous","12","","42","2","6A. Should be accessible from mobile","0"
"5","4. Proposal visibility","4","","11","0","","0"
"24","12. Proposal Budget Submission","0","","4","0","","0"
"20","7. Proposal submission","5","","13","0","","0"
"0","2. Delegation","8","","18","2","","0"
"1","5. Proposal functionality","5","","8","0","","0"
"4","10. User Snap","1","","0","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","26","0","Authentication","0"
"12","11. Proposal Budget","0","","4","0","","0"
"0","6. Miscellaneous","1","","9","0","","0"
"5","8. Proposal Discussion Forum","0","","12","0","","0"
"0","Setup","0","","1","0","Proposal","0"
"1","Setup","0","","3","0","Cleanup","0"
"0","","0","","0","1","","0"
"0","Setup","0","","3","0","Register DRep","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
