"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","6. Miscellaneous","12","","52","2","6A. Should be accessible from mobile","0"
"1","10. User Snap","0","","4","0","","0"
"0","11. Proposal Budget","1","","15","0","","0"
"0","7. Proposal submission","6","","24","0","","0"
"0","8. Proposal Discussion Forum","0","","17","0","","0"
"0","Setup","1","","25","0","Authentication","0"
"0","5. Proposal functionality","0","","3","11","","0"
"0","2. Delegation","0","","16","13","","0"
"0","3. DRep registration","0","","10","13","","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","9. Outcomes","8","","18","0","","0"
"0","","0","","0","8","","0"
"4","4. Proposal visibility","3","","8","5","","0"
"0","Setup","0","","4","0","Cleanup","0"
"0","6. Miscellaneous","1","","9","0","","0"
"0","Setup","0","","2","1","Register DRep","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","0","1","Proposal","0"
