"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","9. Outcomes","8","","18","0","","0"
"0","Setup","1","","25","0","Authentication","0"
"0","7. Proposal submission","6","","24","0","","0"
"1","10. User Snap","0","","4","0","","0"
"4","6. Miscellaneous","11","","53","2","6A. Should be accessible from mobile","0"
"5","4. Proposal visibility","3","","12","0","","0"
"0","2. Delegation","5","","21","2","","0"
"0","","0","","0","9","","0"
"0","3. DRep registration","2","","21","0","","0"
"1","5. Proposal functionality","1","","12","0","","0"
"0","8. Proposal Discussion Forum","0","","17","0","","0"
"0","Setup","0","","0","1","Proposal","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"0","6. Miscellaneous","1","","9","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","11. Proposal Budget","1","","15","0","","0"
"0","Setup","0","","3","0","Register DRep","0"
"1","Setup","0","","3","0","Cleanup","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
