"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"5","4. Proposal visibility","3","","12","0","","0"
"1","5. Proposal functionality","1","","12","0","","0"
"26","12. Proposal Budget Submission","0","","2","0","","0"
"3","6. Miscellaneous","2","","5","0","","0"
"1","3. DRep registration","0","","22","0","","0"
"12","11. Proposal Budget","0","","4","0","","0"
"0","2. Delegation","4","","23","2","","0"
"36","7. Proposal submission","0","","2","0","","0"
"12","8. Proposal Discussion Forum","0","","5","0","","0"
"0","Setup","0","","26","0","Authentication","0"
"0","9. Outcomes","8","","18","0","","0"
"4","10. User Snap","1","","0","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"18","6. Miscellaneous","11","","39","2","6A. Should be accessible from mobile","0"
"0","Setup","0","","3","0","Register DRep","0"
"1","Setup","0","","3","0","Cleanup","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","1","0","Proposal","0"
