"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Setup","0","","26","0","Authentication","0"
"0","8. Proposal Discussion Forum","1","","16","0","","0"
"0","7. Proposal submission","11","","27","0","","0"
"4","6. Miscellaneous","12","","52","2","6A. Should be accessible from mobile","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"1","Setup","0","","3","0","Cleanup","0"
"0","3. DRep registration","1","","22","0","","0"
"0","9. Outcomes","8","","18","0","","0"
"5","4. Proposal visibility","3","","12","0","","0"
"0","6. Miscellaneous","1","","9","0","","0"
"0","5. Proposal functionality","2","","12","0","","0"
"0","11. Proposal Budget","1","","15","0","","0"
"0","2. Delegation","2","","25","2","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","3","0","Register DRep","0"
"1","10. User Snap","0","","4","0","","0"
"0","Setup","0","","1","0","Proposal","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
