"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"0","Setup","0","","26","0","Authentication","0"
"0","9. Outcomes","12","","14","0","","0"
"2","2. Delegation","5","","20","2","","0"
"4","10. User Snap","1","","0","0","","0"
"0","8. Proposal Discussion Forum","1","","16","0","","0"
"0","5. Proposal functionality","2","","12","0","","0"
"8","6. Miscellaneous","14","","46","2","6A. Should be accessible from mobile","0"
"5","7. Proposal submission","6","","24","3","","0"
"0","Setup","0","","4","0","Cleanup","0"
"0","11. Proposal Budget","1","","15","0","","0"
"5","4. Proposal visibility","3","","12","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","3. DRep registration","0","","23","0","","0"
"0","6. Miscellaneous","0","","10","0","","0"
"0","Setup","0","","1","0","Proposal","0"
"0","Setup","0","","3","0","Register DRep","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
